URL,Timestamp,HTTP_request,classification
192.168.0.1,04/Mar/2024:12:01:01 +0000,GET /page1 HTTP/1.1 200 5432,okay
192.168.0.2,04/Mar/2024:12:01:02 +0000,GET /page2 HTTP/1.1 200 7890,okay
192.168.0.3,04/Mar/2024:12:01:03 +0000,GET /page3 HTTP/1.1 200 6543,okay
192.168.0.4,04/Mar/2024:12:01:04 +0000,POST /submit_form HTTP/1.1 200 1892,okay
192.168.0.5,04/Mar/2024:12:01:05 +0000,GET /image.jpg HTTP/1.1 200 45678,okay
192.168.0.6,04/Mar/2024:12:01:06 +0000,GET /page4 HTTP/1.1 200 9876,okay
192.168.0.7,04/Mar/2024:12:01:07 +0000,GET /page5 HTTP/1.1 200 3456,okay
192.168.0.8,04/Mar/2024:12:01:08 +0000,GET /css/style.css HTTP/1.1 200 1234,okay
192.168.0.9,04/Mar/2024:12:01:09 +0000,GET /page6 HTTP/1.1 200 6543,okay
192.168.0.10,04/Mar/2024:12:01:10 +0000,GET /script.js HTTP/1.1 200 876,okay
192.168.0.11,04/Mar/2024:12:01:11 +0000,GET /page7 HTTP/1.1 200 2345,okay
192.168.0.12,04/Mar/2024:12:01:12 +0000,GET /page8 HTTP/1.1 200 5678,okay
192.168.0.13,04/Mar/2024:12:01:13 +0000,GET /page9 HTTP/1.1 200 7890,okay
192.168.0.14,04/Mar/2024:12:01:14 +0000,GET /page10 HTTP/1.1 200 4567,okay
192.168.0.15,04/Mar/2024:12:01:15 +0000,POST /login HTTP/1.1 200 876,okay
192.168.0.16,04/Mar/2024:12:01:16 +0000,GET /page11 HTTP/1.1 200 9876,okay
192.168.0.17,04/Mar/2024:12:01:17 +0000,GET /page12 HTTP/1.1 200 5432,okay
192.168.0.18,04/Mar/2024:12:01:18 +0000,GET /page13 HTTP/1.1 200 6543,okay
192.168.0.19,04/Mar/2024:12:01:19 +0000,GET /page14 HTTP/1.1 200 7890,okay
192.168.0.20,04/Mar/2024:12:01:20 +0000,GET /page15 HTTP/1.1 200 3456,okay
192.168.0.21,04/Mar/2024:12:01:21 +0000,GET /page16 HTTP/1.1 200 5678,okay
192.168.0.22,04/Mar/2024:12:01:22 +0000,GET /page17 HTTP/1.1 200 876,okay
192.168.0.23,04/Mar/2024:12:01:23 +0000,GET /page18 HTTP/1.1 200 2345,okay
192.168.0.24,04/Mar/2024:12:01:24 +0000,GET /page19 HTTP/1.1 200 4567,okay
192.168.0.25,04/Mar/2024:12:01:25 +0000,GET /page20 HTTP/1.1 200 7890,okay
192.168.0.26,04/Mar/2024:12:01:26 +0000,GET /page21 HTTP/1.1 200 9876,okay
192.168.0.27,04/Mar/2024:12:01:27 +0000,GET /page22 HTTP/1.1 200 3456,okay
192.168.0.28,04/Mar/2024:12:01:28 +0000,GET /page23 HTTP/1.1 200 5678,okay
192.168.0.29,04/Mar/2024:12:01:29 +0000,GET /page24 HTTP/1.1 200 876,okay
192.168.0.30,04/Mar/2024:12:01:30 +0000,GET /page25 HTTP/1.1 200 2345,okay
192.168.0.31,04/Mar/2024:12:01:31 +0000,GET /page26 HTTP/1.1 200 4567,okay
192.168.0.32,04/Mar/2024:12:01:32 +0000,GET /page27 HTTP/1.1 200 7890,okay
192.168.0.33,04/Mar/2024:12:01:33 +0000,GET /page28 HTTP/1.1 200 9876,okay
192.168.0.34,04/Mar/2024:12:01:34 +0000,GET /page29 HTTP/1.1 200 3456,okay
